campaign_id,advertiser_id,campaign_name,start_date,end_date,total_budget_gbp,target_demographic_id
CAM0001,ADV001,Tesco — Product Launch 1,2025-10-03,2025-10-25,326515.88,D014
CAM0002,ADV001,Tesco — Mass Market 2,2025-10-13,2025-10-27,66976.39,D007
CAM0003,ADV002,Barclays — TV Burst 3,2025-07-17,2025-08-12,58062.26,D001
CAM0004,ADV002,Barclays — Always On 3,2025-04-12,2025-05-15,108018.86,D013
CAM0005,ADV003,Vodafone — Mass Market 5,2025-01-02,2025-02-04,476808.52,D015
CAM0006,ADV003,Vodafone — Brand Awareness Q2,2025-10-05,2025-11-09,498262.51,D016
CAM0007,ADV004,Ford Motor — Winter Warmth 2025,2025-10-01,2025-10-29,150944.61,D005
CAM0008,ADV004,Ford Motor — Product Launch 8,2025-04-04,2025-05-11,369999.54,D002
CAM0009,ADV005,Unilever — Mass Market 9,2025-01-04,2025-02-28,426254.0,D002
CAM0010,ADV005,Unilever — Seasonal Promo 10,2025-10-15,2025-11-22,105617.78,D009
CAM0011,ADV006,Asda — Digital First 11,2025-01-10,2025-02-19,347749.06,D009
CAM0012,ADV006,Asda — New Year Launch,2025-10-04,2025-11-19,373444.8,D004
CAM0013,ADV007,HSBC — Always On 2,2025-10-07,2025-11-28,139887.22,D009
CAM0014,ADV007,HSBC — Winter Warmth 2025,2025-07-14,2025-08-15,122168.12,D016
CAM0015,ADV008,BT Group — Digital First 15,2025-04-01,2025-04-15,352234.91,D004
CAM0016,ADV008,BT Group — New Year Launch,2025-04-03,2025-05-19,83771.7,D004
CAM0017,ADV008,BT Group — Autumn Drive 2025,2025-10-10,2025-11-09,258924.81,D004
CAM0018,ADV009,Volkswagen UK — Spring Sale 2025,2025-07-11,2025-08-21,382343.09,D004
CAM0019,ADV009,Volkswagen UK — Digital First 19,2025-04-21,2025-05-15,197897.37,D015
CAM0020,ADV009,Volkswagen UK — Product Launch 20,2025-01-12,2025-02-16,132291.24,D013
CAM0021,ADV010,Procter & Gamble — Summer Refresh 2025,2025-10-16,2025-11-25,341980.92,D006
CAM0022,ADV010,Procter & Gamble — Digital First 22,2025-01-06,2025-01-26,237212.47,D016
CAM0023,ADV010,Procter & Gamble — TV Burst 23,2025-04-20,2025-05-28,400623.93,D001
CAM0024,ADV011,Sainsbury's — New Year Launch,2025-10-04,2025-11-13,248309.55,D003
CAM0025,ADV011,Sainsbury's — TV Burst 25,2025-01-17,2025-03-08,375698.09,D008
CAM0026,ADV011,Sainsbury's — Brand Awareness Q4,2025-01-14,2025-03-11,376993.39,D016
CAM0027,ADV012,Lloyds Bank — Seasonal Promo 27,2025-01-01,2025-02-25,470467.14,D016
CAM0028,ADV012,Lloyds Bank — Spring Sale 2025,2025-01-16,2025-02-19,158401.32,D009
CAM0029,ADV013,Sky — Summer Refresh 2025,2025-10-08,2025-10-27,256592.57,D015
CAM0030,ADV013,Sky — Summer Refresh 2025,2025-10-11,2025-11-01,491301.83,D001
CAM0031,ADV013,Sky — Digital First 31,2025-10-02,2025-11-20,297094.46,D003
CAM0032,ADV014,Toyota GB — Seasonal Promo 32,2025-10-11,2025-11-17,421389.95,D008
CAM0033,ADV014,Toyota GB — TV Burst 33,2025-10-12,2025-12-10,253639.61,D004
CAM0034,ADV015,Reckitt — Always On 3,2025-07-12,2025-09-04,483995.16,D010
CAM0035,ADV015,Reckitt — Summer Refresh 2025,2025-01-02,2025-01-26,271589.96,D014
CAM0036,ADV016,Marks & Spencer — Mass Market 36,2025-04-04,2025-05-13,147015.28,D007
