impression_id,campaign_id,play_event_id,served_at,programme_id,ad_position,device_type,revenue_gbp
IMP00000001,CAM0020,EV00019752,2025-03-11T14:59:03,P006,mid,tablet,0.0408
IMP00000002,CAM0045,EV00002999,2025-09-12T19:46:05,P018,pre,mobile,0.0417
IMP00000003,CAM0052,EV00011472,2025-12-12T22:38:54,P039,pre,mobile,0.0446
IMP00000004,CAM0038,EV00016353,2025-10-20T19:01:36,P031,mid,mobile,0.0421
IMP00000005,CAM0056,EV00011465,2025-06-09T17:29:52,P032,mid,mobile,0.0211
IMP00000006,CAM0051,EV00003288,2025-10-31T17:24:34,P019,mid,mobile,0.0257
IMP00000007,CAM0023,EV00002927,2025-08-02T18:41:15,P051,pre,streaming_stick,0.0257
IMP00000008,CAM0011,EV00001179,2025-05-20T07:07:39,P038,pre,tablet,0.0284
IMP00000009,CAM0045,EV00018531,2025-11-08T23:56:01,P037,pre,mobile,0.0361
IMP00000010,CAM0014,EV00000798,2025-05-02T15:54:29,P053,pre,mobile,0.0447
IMP00000011,CAM0011,EV00009150,2025-03-12T19:44:52,P042,pre,streaming_stick,0.0307
IMP00000012,CAM0036,EV00010725,2025-02-22T20:43:20,P032,mid,tablet,0.0281
IMP00000013,CAM0022,EV00018033,2025-07-05T14:53:08,P052,pre,streaming_stick,0.0267
IMP00000014,CAM0046,EV00000031,2025-12-23T11:25:36,P021,pre,tablet,0.0414
IMP00000015,CAM0050,EV00014166,2025-01-05T13:15:42,P047,pre,mobile,0.0222
IMP00000016,CAM0013,EV00007692,2025-04-08T18:09:22,P055,mid,mobile,0.0237
IMP00000017,CAM0028,EV00018482,2025-09-11T16:48:54,P038,mid,tablet,0.0269
IMP00000018,CAM0006,EV00011128,2025-10-30T13:37:52,P020,mid,tablet,0.0295
IMP00000019,CAM0020,EV00016907,2025-08-05T10:00:13,P024,post,desktop,0.0224
IMP00000020,CAM0005,EV00017913,2025-12-20T12:36:02,P030,pre,mobile,0.0409
IMP00000021,CAM0025,EV00017420,2025-03-01T18:14:32,P022,post,mobile,0.03
IMP00000022,CAM0008,EV00004699,2025-03-28T15:00:06,P055,pre,tablet,0.0365
IMP00000023,CAM0020,EV00002666,2025-08-26T17:00:38,P037,pre,mobile,0.0263
IMP00000024,CAM0045,EV00001060,2025-06-22T07:50:51,P009,pre,tablet,0.0382
IMP00000025,CAM0058,EV00009414,2025-10-11T10:00:57,P001,mid,mobile,0.026
IMP00000026,CAM0040,EV00014225,2025-04-07T14:28:51,P053,mid,smart_tv,0.0428
IMP00000027,CAM0058,EV00002734,2025-11-19T14:32:51,P027,mid,smart_tv,0.0254
IMP00000028,CAM0021,EV00016428,2025-08-19T23:55:37,P002,pre,smart_tv,0.031
IMP00000029,CAM0035,EV00015087,2025-05-29T15:26:58,P028,mid,tablet,0.0211
IMP00000030,CAM0048,EV00018217,2025-04-29T15:51:15,P033,pre,smart_tv,0.0388
IMP00000031,CAM0031,EV00017690,2025-01-25T16:34:03,P025,pre,smart_tv,0.0268
IMP00000032,CAM0045,EV00008616,2025-05-29T13:23:36,P041,mid,mobile,0.0361
IMP00000033,CAM0056,EV00006969,2025-07-02T10:04:31,P046,pre,streaming_stick,0.0324
IMP00000034,CAM0045,EV00009572,2025-05-05T18:47:35,P034,pre,tablet,0.0325
IMP00000035,CAM0052,EV00014037,2025-10-24T18:45:04,P012,pre,streaming_stick,0.0326
IMP00000036,CAM0010,EV00009281,2025-10-20T13:33:59,P030,pre,desktop,0.0249
IMP00000037,CAM0035,EV00007641,2025-10-25T16:10:37,P027,mid,tablet,0.0334
IMP00000038,CAM0048,EV00010087,2025-12-06T23:35:34,P026,post,tablet,0.0415
IMP00000039,CAM0056,EV00002338,2025-09-20T12:14:15,P034,post,mobile,0.0215
IMP00000040,CAM0005,EV00016234,2025-10-26T14:17:43,P038,pre,mobile,0.0374
IMP00000041,CAM0056,EV00019651,2025-06-14T18:07:29,P050,mid,mobile,0.038
IMP00000042,CAM0058,EV00015497,2025-09-27T22:47:21,P032,mid,smart_tv,0.0245
IMP00000043,CAM0005,EV00019722,2025-06-11T10:31:06,P024,pre,tablet,0.0309
IMP00000044,CAM0054,EV00019668,2025-10-13T18:07:11,P012,mid,tablet,0.0308
IMP00000045,CAM0021,EV00018834,2025-02-11T15:36:41,P047,pre,mobile,0.0428
IMP00000046,CAM0047,EV00014518,2025-10-10T21:33:38,P018,pre,mobile,0.0373
IMP00000047,CAM0043,EV00009417,2025-11-08T16:05:51,P050,pre,streaming_stick,0.0247
IMP00000048,CAM0038,EV00004168,2025-08-04T11:38:39,P041,post,mobile,0.0206
IMP00000049,CAM0025,EV00003343,2025-08-28T15:18:49,P025,mid,mobile,0.0293
IMP00000050,CAM0047,EV00007775,2025-12-13T13:43:34,P043,pre,mobile,0.0303
IMP00000051,CAM0027,EV00009219,2025-09-19T12:52:36,P032,mid,tablet,0.0264
IMP00000052,CAM0004,EV00008269,2025-12-10T21:19:49,P058,mid,desktop,0.0227
IMP00000053,CAM0023,EV00009758,2025-11-11T23:35:36,P031,mid,mobile,0.0307
IMP00000054,CAM0041,EV00009214,2025-11-28T17:16:04,P037,mid,mobile,0.0206
IMP00000055,CAM0040,EV00006020,2025-10-15T00:48:00,P047,mid,mobile,0.0319
IMP00000056,CAM0043,EV00007161,2025-10-13T14:14:07,P001,mid,tablet,0.0291
IMP00000057,CAM0011,EV00015308,2025-04-04T21:14:48,P012,mid,mobile,0.0383
IMP00000058,CAM0005,EV00000388,2025-06-21T18:20:17,P024,pre,mobile,0.0387
IMP00000059,CAM0039,EV00013667,2025-03-29T15:51:51,P053,pre,mobile,0.0229
IMP00000060,CAM0019,EV00003440,2025-09-24T19:08:45,P048,pre,tablet,0.0311
IMP00000061,CAM0045,EV00018866,2025-04-29T17:57:24,P028,pre,tablet,0.032
IMP00000062,CAM0009,EV00016128,2025-12-05T13:28:23,P036,pre,tablet,0.0352
IMP00000063,CAM0005,EV00016999,2025-11-26T19:01:37,P004,post,mobile,0.0434
IMP00000064,CAM0016,EV00007690,2025-04-08T17:39:23,P055,pre,mobile,0.0221
IMP00000065,CAM0050,EV00005191,2025-07-07T08:26:57,P017,mid,mobile,0.0404
IMP00000066,CAM0004,EV00007724,2025-01-05T19:02:33,P061,pre,smart_tv,0.0281
IMP00000067,CAM0059,EV00001576,2025-09-30T13:50:04,P015,mid,mobile,0.0239
IMP00000068,CAM0012,EV00008240,2025-08-01T11:56:37,P037,pre,tablet,0.0287
IMP00000069,CAM0011,EV00006773,2025-10-12T14:26:31,P029,pre,tablet,0.0445
IMP00000070,CAM0059,EV00019128,2025-01-29T13:35:09,P021,mid,desktop,0.032
IMP00000071,CAM0010,EV00018931,2025-08-13T09:01:48,P051,post,tablet,0.0328
IMP00000072,CAM0034,EV00012875,2025-02-10T21:20:26,P057,post,mobile,0.0369
IMP00000073,CAM0057,EV00015682,2025-09-24T15:52:34,P043,post,mobile,0.0311
IMP00000074,CAM0014,EV00014006,2025-06-08T17:46:23,P043,pre,mobile,0.0304
IMP00000075,CAM0044,EV00009803,2025-02-10T15:26:06,P062,mid,tablet,0.0309
IMP00000076,CAM0006,EV00012042,2025-05-17T15:00:14,P010,pre,mobile,0.0431
IMP00000077,CAM0006,EV00009720,2025-10-11T21:24:50,P054,pre,mobile,0.0288
IMP00000078,CAM0015,EV00010151,2025-01-30T12:30:45,P045,pre,mobile,0.025
IMP00000079,CAM0040,EV00019291,2025-08-14T17:36:01,P025,mid,mobile,0.0323
IMP00000080,CAM0022,EV00013757,2025-06-25T19:29:34,P057,pre,mobile,0.0394
IMP00000081,CAM0007,EV00014442,2025-10-17T21:24:21,P005,pre,desktop,0.033
IMP00000082,CAM0031,EV00008633,2025-12-26T15:19:41,P017,pre,mobile,0.0252
