spot_id,campaign_id,broadcast_date,airing_time,channel_id,daypart,duration_sec,booked_impressions_thousands,delivered_impressions_thousands,rate_card_cpm_gbp,actual_revenue_gbp
LSP000001,CAM0033,2025-09-18,2025-09-18T18:02:00,FACTUAL,pre-peak,40,194.38,201.35,19.67,3.96
LSP000002,CAM0050,2025-10-03,2025-10-03T20:40:00,MAIN,peak,20,552.75,568.89,27.51,15.65
LSP000003,CAM0007,2025-04-16,2025-04-16T20:44:00,MOVIES,peak,40,662.57,672.43,22.31,15.0
LSP000004,CAM0046,2025-06-19,2025-06-19T07:04:00,MAIN,breakfast,20,645.66,649.53,9.59,6.23
LSP000005,CAM0017,2025-07-28,2025-07-28T18:40:00,MOVIES,pre-peak,30,287.3,278.53,18.06,5.03
LSP000006,CAM0047,2025-11-13,2025-11-13T08:47:00,CATCHUP,breakfast,10,575.66,595.37,8.74,5.2
LSP000007,CAM0051,2025-12-18,2025-12-18T16:05:00,FACTUAL,daytime,60,745.02,764.22,6.18,4.72
LSP000008,CAM0011,2025-10-01,2025-10-01T12:47:00,MOVIES,daytime,60,648.11,671.97,6.86,4.61
LSP000009,CAM0044,2025-11-28,2025-11-28T18:00:00,CATCHUP,pre-peak,60,466.3,447.84,23.97,10.73
LSP000010,CAM0035,2025-10-08,2025-10-08T23:19:00,EXTRA,post-peak,40,606.07,592.09,21.25,12.58
LSP000011,CAM0055,2025-09-20,2025-09-20T10:11:00,EXTRA,daytime,30,676.06,658.83,10.8,7.12
LSP000012,CAM0055,2025-01-28,2025-01-28T21:59:00,CATCHUP,peak,30,533.51,540.84,25.26,13.66
LSP000013,CAM0013,2025-10-25,2025-10-25T20:21:00,FACTUAL,peak,20,553.47,543.96,22.91,12.46
LSP000014,CAM0013,2025-06-12,2025-06-12T20:21:00,CATCHUP,peak,40,279.26,280.72,26.74,7.51
LSP000015,CAM0021,2025-08-08,2025-08-08T12:20:00,EXTRA,daytime,60,216.14,215.04,11.04,2.37
LSP000016,CAM0009,2025-12-14,2025-12-14T21:56:00,MOVIES,peak,30,384.02,383.62,23.41,8.98
LSP000017,CAM0042,2025-11-07,2025-11-07T08:17:00,EXTRA,breakfast,30,197.32,199.32,13.09,2.61
LSP000018,CAM0058,2025-01-10,2025-01-10T21:40:00,MAIN,peak,60,486.42,489.92,33.78,16.55
LSP000019,CAM0036,2025-05-14,2025-05-14T20:34:00,MOVIES,peak,40,631.4,617.42,32.04,19.78
LSP000020,CAM0047,2025-05-29,2025-05-29T10:32:00,CATCHUP,daytime,10,347.59,352.11,11.09,3.9
LSP000021,CAM0052,2025-11-11,2025-11-11T21:48:00,CATCHUP,peak,20,384.67,398.48,30.57,12.18
LSP000022,CAM0010,2025-09-05,2025-09-05T23:02:00,EXTRA,post-peak,60,415.73,411.39,14.34,5.9
LSP000023,CAM0014,2025-09-23,2025-09-23T23:23:00,MOVIES,post-peak,30,738.43,711.25,19.19,13.65
LSP000024,CAM0007,2025-12-27,2025-12-27T23:40:00,FACTUAL,post-peak,60,606.43,609.83,17.01,10.37
LSP000025,CAM0025,2025-07-07,2025-07-07T20:57:00,MAIN,peak,30,238.69,233.4,27.28,6.37
LSP000026,CAM0053,2025-06-26,2025-06-26T20:30:00,CATCHUP,peak,10,426.38,414.97,23.0,9.54
LSP000027,CAM0042,2025-05-24,2025-05-24T12:11:00,EXTRA,daytime,30,501.52,507.98,8.49,4.31
LSP000028,CAM0022,2025-02-28,2025-02-28T20:30:00,MOVIES,peak,20,493.09,489.58,25.17,12.32
LSP000029,CAM0009,2025-10-21,2025-10-21T20:08:00,CATCHUP,peak,10,718.1,698.93,33.99,23.76
LSP000030,CAM0034,2025-07-27,2025-07-27T20:36:00,MAIN,peak,40,595.98,617.3,24.82,15.32
LSP000031,CAM0039,2025-08-30,2025-08-30T21:10:00,EXTRA,peak,60,358.08,360.45,31.98,11.53
LSP000032,CAM0040,2025-12-04,2025-12-04T20:10:00,FACTUAL,peak,30,497.4,492.55,23.72,11.68
LSP000033,CAM0002,2025-04-14,2025-04-14T20:58:00,CATCHUP,peak,40,364.85,353.07,28.19,9.95
LSP000034,CAM0040,2025-11-04,2025-11-04T07:50:00,CATCHUP,breakfast,30,614.29,622.12,14.31,8.9
LSP000035,CAM0035,2025-01-01,2025-01-01T23:49:00,MOVIES,post-peak,30,365.51,371.29,17.43,6.47
LSP000036,CAM0052,2025-09-04,2025-09-04T21:24:00,FACTUAL,peak,30,653.47,671.1,29.49,19.79
LSP000037,CAM0028,2025-03-10,2025-03-10T14:49:00,EXTRA,daytime,60,112.86,113.25,7.55,0.86
LSP000038,CAM0001,2025-12-30,2025-12-30T21:00:00,CATCHUP,peak,30,138.37,118.6,30.94,3.67
LSP000039,CAM0021,2025-07-29,2025-07-29T18:09:00,MOVIES,pre-peak,40,489.03,490.44,23.65,11.6
LSP000040,CAM0040,2025-05-22,2025-05-22T23:25:00,EXTRA,post-peak,30,464.08,452.15,18.47,8.35
LSP000041,CAM0031,2025-05-10,2025-05-10T23:36:00,FACTUAL,post-peak,60,579.12,595.57,19.27,11.48
LSP000042,CAM0048,2025-04-28,2025-04-28T18:44:00,EXTRA,pre-peak,10,210.84,208.11,23.51,4.89
LSP000043,CAM0045,2025-12-17,2025-12-17T21:10:00,MOVIES,peak,40,53.97,52.44,34.04,1.79
LSP000044,CAM0028,2025-02-15,2025-02-15T08:14:00,FACTUAL,breakfast,10,506.77,524.23,10.8,5.66
LSP000045,CAM0042,2025-09-24,2025-09-24T14:38:00,MAIN,daytime,60,665.17,661.92,7.21,4.77
LSP000046,CAM0043,2025-09-23,2025-09-23T14:02:00,CATCHUP,daytime,30,436.86,425.31,6.22,2.65
LSP000047,CAM0016,2025-12-02,2025-12-02T07:10:00,MAIN,breakfast,30,634.75,629.43,12.1,7.62
LSP000048,CAM0034,2025-01-08,2025-01-08T21:04:00,MAIN,peak,30,263.37,272.11,26.53,7.22
LSP000049,CAM0053,2025-05-22,2025-05-22T14:12:00,MOVIES,daytime,30,481.18,477.61,6.64,3.17
LSP000050,CAM0005,2025-09-15,2025-09-15T16:07:00,CATCHUP,daytime,30,707.08,711.32,10.17,7.23
LSP000051,CAM0025,2025-10-16,2025-10-16T20:15:00,FACTUAL,peak,60,394.14,396.88,22.36,8.87
LSP000052,CAM0008,2025-05-13,2025-05-13T08:40:00,EXTRA,breakfast,40,575.88,571.85,10.47,5.99
LSP000053,CAM0035,2025-01-05,2025-01-05T21:16:00,EXTRA,peak,30,119.76,122.84,22.99,2.82
LSP000054,CAM0012,2025-09-01,2025-09-01T16:13:00,CATCHUP,daytime,30,187.09,193.53,7.14,1.38
LSP000055,CAM0048,2025-04-13,2025-04-13T14:15:00,FACTUAL,daytime,20,221.91,227.88,8.14,1.85
LSP000056,CAM0050,2025-02-24,2025-02-24T10:05:00,MOVIES,daytime,30,54.97,56.98,11.09,0.63
LSP000057,CAM0024,2025-11-14,2025-11-14T16:57:00,CATCHUP,daytime,60,256.05,261.46,9.07,2.37
LSP000058,CAM0026,2025-04-24,2025-04-24T21:08:00,MAIN,peak,30,649.45,651.57,28.53,18.59
LSP000059,CAM0026,2025-12-18,2025-12-18T21:29:00,MAIN,peak,40,438.65,421.4,30.76,12.96
LSP000060,CAM0025,2025-10-25,2025-10-25T10:23:00,CATCHUP,daytime,60,244.78,239.63,8.83,2.12
LSP000061,CAM0040,2025-06-25,2025-06-25T18:31:00,MOVIES,pre-peak,20,364.32,360.39,22.01,7.93
LSP000062,CAM0029,2025-04-03,2025-04-03T20:36:00,EXTRA,peak,60,124.9,122.26,27.62,3.38
