advertiser_id,advertiser_name,sector,agency
ADV001,Tesco,retail,Publicis
ADV002,Barclays,finance,WPP
ADV003,Vodafone,telecom,Ogilvy
ADV004,Ford Motor,auto,JWT
ADV005,Unilever,fmcg,Dentsu
ADV006,Asda,retail,Havas
ADV007,HSBC,finance,WPP
ADV008,BT Group,telecom,Publicis
ADV009,Volkswagen UK,auto,DDB
ADV010,Procter & Gamble,fmcg,BBDO
ADV011,Sainsbury's,retail,Leo Burnett
ADV012,Lloyds Bank,finance,Adam&Eve DDB
ADV013,Sky,telecom,Abbott Mead
ADV014,Toyota GB,auto,Saatchi & Saatchi
ADV015,Reckitt,fmcg,Havas
ADV016,Marks & Spencer,retail,Saatchi & Saatchi
ADV017,NatWest,finance,Proximity
ADV018,O2,telecom,VCCP
ADV019,BMW UK,auto,WCRS
ADV020,Nestle UK,fmcg,McCann
ADV021,Lidl UK,retail,TBWA
ADV022,Halifax,finance,Adam&Eve DDB
ADV023,EE,telecom,Saatchi & Saatchi
ADV024,Renault UK,auto,Publicis
ADV025,Ryanair,travel,Dare
