broadcast_date,programme_id,channel_id,overnight_viewers_thousands,c7_viewers_thousands,c7_reach_thousands,_loaded_at
2025-01-01,P018,FACTUAL,1.191,1.449,1.776,2025-12-31T23:59:00
2025-01-01,P003,EXTRA,5.761,8.322,9.181,2025-12-31T23:59:00
2025-01-01,P005,CATCHUP,1.218,1.491,1.612,2025-12-31T23:59:00
2025-01-01,P025,FACTUAL,0.907,1.072,1.224,2025-12-31T23:59:00
2025-01-01,P013,FACTUAL,4.832,7.468,9.318,2025-12-31T23:59:00
2025-01-01,P027,FACTUAL,1.328,1.808,2.3,2025-12-31T23:59:00
2025-01-01,P009,EXTRA,4.451,6.795,7.436,2025-12-31T23:59:00
2025-01-01,P019,MAIN,2.974,3.58,4.654,2025-12-31T23:59:00
2025-01-01,P001,CATCHUP,6.282,9.92,11.955,2025-12-31T23:59:00
2025-01-01,P026,CATCHUP,4.478,6.227,6.54,2025-12-31T23:59:00
2025-01-01,P014,EXTRA,0.784,1.121,1.227,2025-12-31T23:59:00
2025-01-01,P022,CATCHUP,0.735,1.039,1.288,2025-12-31T23:59:00
2025-01-01,P008,CATCHUP,5.223,7.875,8.788,2025-12-31T23:59:00
2025-01-01,P029,CATCHUP,5.448,6.098,7.866,2025-12-31T23:59:00
2025-01-01,P016,MOVIES,1.884,2.262,2.876,2025-12-31T23:59:00
2025-01-08,P019,MAIN,2.873,3.954,4.239,2025-12-31T23:59:00
2025-01-08,P024,EXTRA,4.277,5.039,5.425,2025-12-31T23:59:00
2025-01-08,P008,MOVIES,4.412,6.046,6.517,2025-12-31T23:59:00
2025-01-08,P010,CATCHUP,4.668,6.865,7.542,2025-12-31T23:59:00
2025-01-08,P027,EXTRA,3.839,5.901,6.737,2025-12-31T23:59:00
2025-01-08,P028,MOVIES,3.626,4.145,5.176,2025-12-31T23:59:00
2025-01-08,P025,MOVIES,3.502,5.339,6.474,2025-12-31T23:59:00
2025-01-08,P014,MOVIES,1.697,2.593,3.019,2025-12-31T23:59:00
2025-01-08,P007,CATCHUP,2.512,3.039,3.339,2025-12-31T23:59:00
2025-01-08,P006,MOVIES,4.747,6.031,6.623,2025-12-31T23:59:00
2025-01-08,P029,MAIN,2.402,3.739,4.441,2025-12-31T23:59:00
2025-01-08,P026,MOVIES,1.773,2.604,3.077,2025-12-31T23:59:00
2025-01-08,P011,MOVIES,1.689,2.168,2.449,2025-12-31T23:59:00
2025-01-08,P017,EXTRA,2.174,2.43,2.843,2025-12-31T23:59:00
2025-01-08,P004,FACTUAL,3.952,5.547,6.753,2025-12-31T23:59:00
2025-01-15,P024,MOVIES,2.974,4.649,5.605,2025-12-31T23:59:00
2025-01-15,P004,MAIN,4.979,6.923,8.316,2025-12-31T23:59:00
2025-01-15,P002,MOVIES,4.481,5.011,5.514,2025-12-31T23:59:00
2025-01-15,P005,CATCHUP,2.28,3.6,4.092,2025-12-31T23:59:00
2025-01-15,P023,MOVIES,1.178,1.737,1.903,2025-12-31T23:59:00
2025-01-15,P021,FACTUAL,1.84,2.515,2.846,2025-12-31T23:59:00
2025-01-15,P020,MAIN,4.161,6.007,6.377,2025-12-31T23:59:00
2025-01-15,P003,FACTUAL,4.874,5.489,6.053,2025-12-31T23:59:00
2025-01-15,P027,EXTRA,5.342,8.131,9.309,2025-12-31T23:59:00
2025-01-15,P029,FACTUAL,0.959,1.43,1.504,2025-12-31T23:59:00
2025-01-15,P007,MOVIES,3.04,4.099,4.766,2025-12-31T23:59:00
2025-01-15,P016,MOVIES,0.906,1.444,1.777,2025-12-31T23:59:00
2025-01-15,P012,CATCHUP,3.871,5.134,5.877,2025-12-31T23:59:00
2025-01-15,P001,FACTUAL,3.683,5.326,6.522,2025-12-31T23:59:00
2025-01-15,P010,MAIN,2.063,3.251,4.144,2025-12-31T23:59:00
2025-01-22,P012,FACTUAL,3.244,3.74,4.542,2025-12-31T23:59:00
2025-01-22,P028,MAIN,4.266,6.487,8.2,2025-12-31T23:59:00
2025-01-22,P008,CATCHUP,2.523,3.178,4.092,2025-12-31T23:59:00
2025-01-22,P002,FACTUAL,4.139,5.384,6.146,2025-12-31T23:59:00
2025-01-22,P019,MAIN,4.356,5.68,6.441,2025-12-31T23:59:00
2025-01-22,P010,EXTRA,2.173,3.442,3.916,2025-12-31T23:59:00
2025-01-22,P013,MOVIES,2.737,3.58,4.111,2025-12-31T23:59:00
2025-01-22,P018,CATCHUP,2.229,2.744,3.11,2025-12-31T23:59:00
2025-01-22,P027,FACTUAL,4.407,6.389,8.16,2025-12-31T23:59:00
2025-01-22,P022,CATCHUP,0.817,0.967,1.027,2025-12-31T23:59:00
2025-01-22,P025,FACTUAL,2.626,3.794,4.101,2025-12-31T23:59:00
2025-01-22,P021,CATCHUP,0.686,0.921,1.154,2025-12-31T23:59:00
2025-01-22,P026,FACTUAL,0.774,1.178,1.425,2025-12-31T23:59:00
2025-01-22,P009,FACTUAL,4.859,7.389,9.247,2025-12-31T23:59:00
2025-01-22,P005,MOVIES,3.702,5.362,6.109,2025-12-31T23:59:00
2025-01-31,P020,EXTRA,0.604,0.946,1.046,2025-12-31T23:59:00
2025-01-31,P003,MOVIES,5.551,6.31,7.034,2025-12-31T23:59:00
2025-01-31,P029,MOVIES,3.895,4.631,4.96,2025-12-31T23:59:00
2025-01-31,P009,EXTRA,2.662,4.223,5.077,2025-12-31T23:59:00
2025-01-31,P021,FACTUAL,2.826,4.003,4.214,2025-12-31T23:59:00
2025-01-31,P022,MAIN,3.477,4.678,5.979,2025-12-31T23:59:00
2025-01-31,P013,MOVIES,2.943,4.235,4.975,2025-12-31T23:59:00
2025-01-31,P001,FACTUAL,5.612,8.502,10.157,2025-12-31T23:59:00
2025-01-31,P023,FACTUAL,2.705,3.321,3.499,2025-12-31T23:59:00
2025-01-31,P002,MAIN,5.912,6.784,8.553,2025-12-31T23:59:00
2025-01-31,P007,CATCHUP,1.732,2.08,2.242,2025-12-31T23:59:00
2025-01-31,P024,EXTRA,4.056,4.831,6.156,2025-12-31T23:59:00
2025-01-31,P006,FACTUAL,1.136,1.743,2.103,2025-12-31T23:59:00
2025-01-31,P016,MAIN,0.794,1.241,1.491,2025-12-31T23:59:00
2025-01-31,P004,EXTRA,3.05,3.832,4.499,2025-12-31T23:59:00
2025-02-15,P024,MOVIES,2.887,3.876,4.248,2025-12-31T23:59:00
2025-02-15,P002,MOVIES,3.473,5.154,5.63,2025-12-31T23:59:00
2025-02-15,P028,MOVIES,2.95,3.598,4.178,2025-12-31T23:59:00
2025-02-15,P015,CATCHUP,1.831,2.103,2.698,2025-12-31T23:59:00
2025-02-15,P009,EXTRA,1.255,1.648,1.928,2025-12-31T23:59:00
2025-02-15,P027,MAIN,0.723,0.911,1.043,2025-12-31T23:59:00
