broadcast_date,broadcast_hour,channel_id,programme_id,demographic_id,viewers_thousands,tvr_pct,_loaded_at
2025-01-01,15,MOVIES,P022,D006,144.9,0.23,2025-12-31T23:59:00
2025-01-01,14,MOVIES,P021,D014,69.3,0.11,2025-12-31T23:59:00
2025-01-01,6,MOVIES,P007,D010,233.1,0.37,2025-12-31T23:59:00
2025-01-01,20,MOVIES,P016,D011,957.6,1.52,2025-12-31T23:59:00
2025-01-01,16,MOVIES,P015,D003,69.3,0.11,2025-12-31T23:59:00
2025-01-01,23,MOVIES,P011,D012,81.9,0.13,2025-12-31T23:59:00
2025-01-01,13,MOVIES,P004,D005,239.4,0.38,2025-12-31T23:59:00
2025-01-01,17,MOVIES,P019,D012,75.6,0.12,2025-12-31T23:59:00
2025-01-01,18,MOVIES,P021,D002,144.9,0.23,2025-12-31T23:59:00
2025-01-01,10,MOVIES,P025,D002,75.6,0.12,2025-12-31T23:59:00
2025-01-01,7,MOVIES,P022,D002,151.2,0.24,2025-12-31T23:59:00
2025-01-01,12,MOVIES,P026,D002,88.2,0.14,2025-12-31T23:59:00
2025-01-01,11,MOVIES,P024,D011,94.5,0.15,2025-12-31T23:59:00
2025-01-01,21,MOVIES,P010,D007,1228.5,1.95,2025-12-31T23:59:00
2025-01-01,23,BBC2,P051,D008,1146.6,1.82,2025-12-31T23:59:00
2025-01-01,11,BBC2,P009,D006,1089.9,1.73,2025-12-31T23:59:00
2025-01-01,21,BBC2,P036,D004,2412.9,3.83,2025-12-31T23:59:00
2025-01-01,8,BBC2,P017,D004,667.8,1.06,2025-12-31T23:59:00
2025-01-01,6,BBC2,P047,D001,850.5,1.35,2025-12-31T23:59:00
2025-01-01,13,BBC2,P051,D001,630.0,1.0,2025-12-31T23:59:00
2025-01-01,20,BBC2,P009,D012,3578.4,5.68,2025-12-31T23:59:00
2025-01-01,10,BBC2,P030,D011,869.4,1.38,2025-12-31T23:59:00
2025-01-01,7,BBC2,P037,D008,768.6,1.22,2025-12-31T23:59:00
2025-01-01,17,FACTUAL,P005,D002,182.7,0.29,2025-12-31T23:59:00
2025-01-01,19,FACTUAL,P001,D015,812.7,1.29,2025-12-31T23:59:00
2025-01-01,9,FACTUAL,P010,D003,264.6,0.42,2025-12-31T23:59:00
2025-01-01,23,FACTUAL,P006,D007,100.8,0.16,2025-12-31T23:59:00
2025-01-01,14,FACTUAL,P007,D010,308.7,0.49,2025-12-31T23:59:00
2025-01-01,6,FACTUAL,P024,D002,302.4,0.48,2025-12-31T23:59:00
2025-01-01,12,FACTUAL,P029,D007,176.4,0.28,2025-12-31T23:59:00
2025-01-01,7,FACTUAL,P026,D012,258.3,0.41,2025-12-31T23:59:00
2025-01-01,13,FACTUAL,P012,D011,214.2,0.34,2025-12-31T23:59:00
2025-01-01,21,FACTUAL,P005,D001,919.8,1.46,2025-12-31T23:59:00
2025-01-01,22,FACTUAL,P004,D007,283.5,0.45,2025-12-31T23:59:00
2025-01-01,18,FACTUAL,P005,D010,69.3,0.11,2025-12-31T23:59:00
2025-01-01,7,SKYONE,P006,D003,201.6,0.32,2025-12-31T23:59:00
2025-01-01,20,SKYONE,P043,D013,907.2,1.44,2025-12-31T23:59:00
2025-01-01,18,SKYONE,P012,D009,126.0,0.2,2025-12-31T23:59:00
2025-01-01,10,SKYONE,P064,D011,226.8,0.36,2025-12-31T23:59:00
2025-01-01,12,SKYONE,P034,D011,144.9,0.23,2025-12-31T23:59:00
2025-01-01,14,SKYONE,P030,D016,214.2,0.34,2025-12-31T23:59:00
2025-01-01,15,SKYONE,P020,D002,283.5,0.45,2025-12-31T23:59:00
2025-01-01,8,SKYONE,P050,D010,195.3,0.31,2025-12-31T23:59:00
2025-01-01,19,SKYONE,P044,D002,888.3,1.41,2025-12-31T23:59:00
2025-01-01,16,SKYONE,P032,D013,69.3,0.11,2025-12-31T23:59:00
2025-01-01,20,EXTRA,P027,D009,1619.1,2.57,2025-12-31T23:59:00
2025-01-01,9,EXTRA,P005,D010,289.8,0.46,2025-12-31T23:59:00
2025-01-01,12,EXTRA,P010,D002,434.7,0.69,2025-12-31T23:59:00
2025-01-01,6,EXTRA,P005,D007,478.8,0.76,2025-12-31T23:59:00
2025-01-01,21,EXTRA,P001,D008,2148.3,3.41,2025-12-31T23:59:00
2025-01-01,7,EXTRA,P008,D005,296.1,0.47,2025-12-31T23:59:00
2025-01-01,19,EXTRA,P016,D011,1341.9,2.13,2025-12-31T23:59:00
2025-01-01,16,EXTRA,P029,D013,315.0,0.5,2025-12-31T23:59:00
2025-01-01,18,EXTRA,P021,D005,226.8,0.36,2025-12-31T23:59:00
2025-01-01,11,EXTRA,P012,D016,529.2,0.84,2025-12-31T23:59:00
2025-01-01,8,EXTRA,P025,D012,459.9,0.73,2025-12-31T23:59:00
2025-01-01,15,EXTRA,P024,D008,516.6,0.82,2025-12-31T23:59:00
2025-01-01,14,EXTRA,P004,D016,630.0,1.0,2025-12-31T23:59:00
2025-01-01,23,CHAN5,P019,D003,560.7,0.89,2025-12-31T23:59:00
2025-01-01,18,CHAN5,P051,D013,1115.1,1.77,2025-12-31T23:59:00
2025-01-01,17,CHAN5,P064,D012,900.9,1.43,2025-12-31T23:59:00
2025-01-01,10,CHAN5,P020,D004,346.5,0.55,2025-12-31T23:59:00
2025-01-01,20,CHAN5,P011,D012,1581.3,2.51,2025-12-31T23:59:00
2025-01-01,11,CHAN5,P057,D007,1152.9,1.83,2025-12-31T23:59:00
2025-01-01,9,CHAN5,P046,D002,1228.5,1.95,2025-12-31T23:59:00
2025-01-01,6,CHAN5,P005,D010,371.7,0.59,2025-12-31T23:59:00
2025-01-01,10,CATCHUP,P019,D006,119.7,0.19,2025-12-31T23:59:00
2025-01-01,17,CATCHUP,P030,D003,163.8,0.26,2025-12-31T23:59:00
2025-01-01,22,CATCHUP,P026,D016,63.0,0.1,2025-12-31T23:59:00
2025-01-01,13,CATCHUP,P021,D014,50.4,0.08,2025-12-31T23:59:00
2025-01-01,19,CATCHUP,P001,D010,422.1,0.67,2025-12-31T23:59:00
2025-01-01,8,CATCHUP,P001,D002,138.6,0.22,2025-12-31T23:59:00
2025-01-01,11,CATCHUP,P012,D006,44.1,0.07,2025-12-31T23:59:00
2025-01-01,16,CATCHUP,P013,D002,151.2,0.24,2025-12-31T23:59:00
2025-01-01,7,CATCHUP,P001,D012,88.2,0.14,2025-12-31T23:59:00
2025-01-01,21,CATCHUP,P004,D014,579.6,0.92,2025-12-31T23:59:00
2025-01-01,6,ITV2,P001,D002,472.5,0.75,2025-12-31T23:59:00
2025-01-01,23,ITV2,P061,D005,422.1,0.67,2025-12-31T23:59:00
2025-01-01,13,ITV2,P048,D014,661.5,1.05,2025-12-31T23:59:00
2025-01-01,20,ITV2,P024,D015,3068.1,4.87,2025-12-31T23:59:00
2025-01-01,11,ITV2,P007,D006,233.1,0.37,2025-12-31T23:59:00
2025-01-01,8,ITV2,P031,D015,743.4,1.18,2025-12-31T23:59:00
2025-01-01,16,ITV2,P009,D007,516.6,0.82,2025-12-31T23:59:00
2025-01-01,18,ITV2,P033,D011,541.8,0.86,2025-12-31T23:59:00
2025-01-01,14,ITV2,P015,D012,459.9,0.73,2025-12-31T23:59:00
2025-01-01,17,ITV2,P058,D009,718.2,1.14,2025-12-31T23:59:00
2025-01-01,19,ITV2,P022,D007,2186.1,3.47,2025-12-31T23:59:00
2025-01-01,10,ITV2,P017,D013,648.9,1.03,2025-12-31T23:59:00
2025-01-01,9,ITV2,P009,D004,535.5,0.85,2025-12-31T23:59:00
2025-01-01,7,ITV2,P060,D002,434.7,0.69,2025-12-31T23:59:00
2025-01-08,13,EXTRA,P008,D013,189.0,0.3,2025-12-31T23:59:00
2025-01-08,11,EXTRA,P030,D009,390.6,0.62,2025-12-31T23:59:00
2025-01-08,18,EXTRA,P024,D011,598.5,0.95,2025-12-31T23:59:00
2025-01-08,20,EXTRA,P009,D007,1108.8,1.76,2025-12-31T23:59:00
2025-01-08,10,EXTRA,P021,D012,283.5,0.45,2025-12-31T23:59:00
2025-01-08,15,EXTRA,P030,D007,245.7,0.39,2025-12-31T23:59:00
2025-01-08,14,EXTRA,P001,D002,623.7,0.99,2025-12-31T23:59:00
2025-01-08,22,EXTRA,P023,D013,226.8,0.36,2025-12-31T23:59:00
2025-01-08,21,EXTRA,P002,D014,1134.0,1.8,2025-12-31T23:59:00
2025-01-08,16,ITV2,P031,D008,623.7,0.99,2025-12-31T23:59:00
2025-01-08,21,ITV2,P021,D011,2129.4,3.38,2025-12-31T23:59:00
2025-01-08,13,ITV2,P012,D009,705.6,1.12,2025-12-31T23:59:00
2025-01-08,18,ITV2,P039,D001,554.4,0.88,2025-12-31T23:59:00
2025-01-08,9,ITV2,P034,D008,630.0,1.0,2025-12-31T23:59:00
2025-01-08,22,ITV2,P024,D014,630.0,1.0,2025-12-31T23:59:00
2025-01-08,6,ITV2,P056,D001,504.0,0.8,2025-12-31T23:59:00
2025-01-08,19,ITV2,P054,D013,3011.4,4.78,2025-12-31T23:59:00
2025-01-08,20,ITV2,P044,D008,2034.9,3.23,2025-12-31T23:59:00
2025-01-08,11,ITV2,P042,D005,510.3,0.81,2025-12-31T23:59:00
2025-01-08,14,ITV2,P034,D004,554.4,0.88,2025-12-31T23:59:00
2025-01-08,17,ITV2,P031,D003,333.9,0.53,2025-12-31T23:59:00
2025-01-08,7,ITV2,P030,D003,220.5,0.35,2025-12-31T23:59:00
2025-01-08,10,ITV2,P046,D008,283.5,0.45,2025-12-31T23:59:00
2025-01-08,14,CHAN5,P028,D010,781.2,1.24,2025-12-31T23:59:00
2025-01-08,18,CHAN5,P047,D016,674.1,1.07,2025-12-31T23:59:00
2025-01-08,23,CHAN5,P050,D016,378.0,0.6,2025-12-31T23:59:00
2025-01-08,22,CHAN5,P035,D016,636.3,1.01,2025-12-31T23:59:00
