broadcast_date,channel_id,start_time,end_time,programme_id,episode_id
2025-01-06,MAIN,2025-01-06T06:00:00,2025-01-06T06:25:00,P024,E00243
2025-01-06,MAIN,2025-01-06T06:00:00,2025-01-06T06:30:00,P038,E00328
2025-01-06,MAIN,2025-01-06T07:00:00,2025-01-06T07:55:00,P060,E00535
2025-01-06,MAIN,2025-01-06T08:00:00,2025-01-06T08:25:00,P017,E00168
2025-01-06,MAIN,2025-01-06T09:00:00,2025-01-06T09:45:00,P058,E00525
2025-01-06,MAIN,2025-01-06T10:00:00,2025-01-06T10:45:00,P054,E00493
2025-01-06,MAIN,2025-01-06T12:00:00,2025-01-06T13:00:00,P058,E00523
2025-01-06,MAIN,2025-01-06T13:00:00,2025-01-06T13:30:00,P030,E00303
2025-01-06,MAIN,2025-01-06T14:00:00,2025-01-06T14:30:00,P010,E00107
2025-01-06,MAIN,2025-01-06T15:00:00,2025-01-06T15:30:00,P062,E00558
2025-01-06,MAIN,2025-01-06T16:00:00,2025-01-06T16:30:00,P061,E00549
2025-01-06,MAIN,2025-01-06T17:00:00,2025-01-06T17:55:00,P024,E00229
2025-01-06,MAIN,2025-01-06T19:00:00,2025-01-06T19:55:00,P057,E00519
2025-01-06,MAIN,2025-01-06T20:00:00,2025-01-06T21:00:00,P001,E00003
2025-01-06,MAIN,2025-01-06T21:00:00,2025-01-06T22:00:00,P040,E00344
2025-01-06,MAIN,2025-01-06T22:00:00,2025-01-06T22:55:00,P030,E00305
2025-01-06,MAIN,2025-01-06T23:00:00,2025-01-06T23:55:00,P050,E00443
2025-01-06,EXTRA,2025-01-06T07:00:00,2025-01-06T07:25:00,P007,E00084
2025-01-06,EXTRA,2025-01-06T07:00:00,2025-01-06T07:30:00,P025,E00247
2025-01-06,EXTRA,2025-01-06T08:00:00,2025-01-06T08:25:00,P027,E00266
2025-01-06,EXTRA,2025-01-06T09:00:00,2025-01-06T09:50:00,P029,E00298
2025-01-06,EXTRA,2025-01-06T10:00:00,2025-01-06T10:50:00,P026,E00255
2025-01-06,EXTRA,2025-01-06T12:00:00,2025-01-06T12:50:00,P006,E00062
2025-01-06,EXTRA,2025-01-06T13:00:00,2025-01-06T13:25:00,P007,E00079
2025-01-06,EXTRA,2025-01-06T14:00:00,2025-01-06T14:25:00,P025,E00245
2025-01-06,EXTRA,2025-01-06T15:00:00,2025-01-06T15:25:00,P025,E00248
2025-01-06,EXTRA,2025-01-06T16:00:00,2025-01-06T16:25:00,P030,E00305
2025-01-06,EXTRA,2025-01-06T17:00:00,2025-01-06T17:50:00,P025,E00248
2025-01-06,EXTRA,2025-01-06T18:00:00,2025-01-06T18:25:00,P027,E00258
2025-01-06,EXTRA,2025-01-06T19:00:00,2025-01-06T19:25:00,P026,E00251
2025-01-06,EXTRA,2025-01-06T20:00:00,2025-01-06T21:00:00,P042,E00370
2025-01-06,EXTRA,2025-01-06T21:00:00,2025-01-06T22:00:00,P027,E00257
2025-01-06,EXTRA,2025-01-06T22:00:00,2025-01-06T22:25:00,P029,E00299
2025-01-06,FACTUAL,2025-01-06T08:00:00,2025-01-06T09:00:00,P038,E00330
2025-01-06,FACTUAL,2025-01-06T09:00:00,2025-01-06T10:00:00,P057,E00518
2025-01-06,FACTUAL,2025-01-06T10:00:00,2025-01-06T11:00:00,P058,E00526
2025-01-06,FACTUAL,2025-01-06T12:00:00,2025-01-06T13:00:00,P009,E00097
2025-01-06,FACTUAL,2025-01-06T14:00:00,2025-01-06T15:00:00,P056,E00509
2025-01-06,FACTUAL,2025-01-06T16:00:00,2025-01-06T17:00:00,P057,E00520
2025-01-06,FACTUAL,2025-01-06T18:00:00,2025-01-06T19:00:00,P056,E00512
2025-01-06,FACTUAL,2025-01-06T20:00:00,2025-01-06T21:00:00,P036,E00314
2025-01-06,FACTUAL,2025-01-06T21:00:00,2025-01-06T22:00:00,P039,E00341
2025-01-06,FACTUAL,2025-01-06T22:00:00,2025-01-06T23:00:00,P057,E00517
2025-01-06,MOVIES,2025-01-06T09:00:00,2025-01-06T11:00:00,P033,E00309
2025-01-06,MOVIES,2025-01-06T12:00:00,2025-01-06T14:08:00,P033,E00309
2025-01-06,MOVIES,2025-01-06T15:00:00,2025-01-06T16:56:00,P031,E00307
2025-01-06,MOVIES,2025-01-06T18:00:00,2025-01-06T20:28:00,P033,E00309
2025-01-06,MOVIES,2025-01-06T21:00:00,2025-01-06T23:12:00,P031,E00307
2025-01-06,MOVIES,2025-01-06T23:00:00,2025-01-07T00:35:00,P031,E00307
2025-01-06,CATCHUP,2025-01-06T08:00:00,2025-01-06T09:00:00,P013,E00140
2025-01-06,CATCHUP,2025-01-06T10:00:00,2025-01-06T11:00:00,P061,E00541
2025-01-06,CATCHUP,2025-01-06T12:00:00,2025-01-06T13:00:00,P012,E00124
2025-01-06,CATCHUP,2025-01-06T14:00:00,2025-01-06T15:00:00,P062,E00554
2025-01-06,CATCHUP,2025-01-06T16:00:00,2025-01-06T17:00:00,P012,E00128
2025-01-06,CATCHUP,2025-01-06T18:00:00,2025-01-06T19:00:00,P062,E00553
2025-01-06,CATCHUP,2025-01-06T20:00:00,2025-01-06T21:00:00,P012,E00127
2025-01-06,CATCHUP,2025-01-06T21:00:00,2025-01-06T22:00:00,P062,E00555
2025-01-06,CATCHUP,2025-01-06T22:00:00,2025-01-06T23:00:00,P012,E00122
2025-01-07,MAIN,2025-01-07T06:00:00,2025-01-07T06:25:00,P022,E00205
2025-01-07,MAIN,2025-01-07T06:00:00,2025-01-07T06:30:00,P057,E00520
2025-01-07,MAIN,2025-01-07T07:00:00,2025-01-07T07:55:00,P001,E00003
2025-01-07,MAIN,2025-01-07T08:00:00,2025-01-07T08:25:00,P061,E00543
2025-01-07,MAIN,2025-01-07T09:00:00,2025-01-07T09:45:00,P009,E00103
2025-01-07,MAIN,2025-01-07T10:00:00,2025-01-07T10:45:00,P017,E00163
2025-01-07,MAIN,2025-01-07T12:00:00,2025-01-07T13:00:00,P008,E00093
2025-01-07,MAIN,2025-01-07T13:00:00,2025-01-07T13:30:00,P062,E00552
2025-01-07,MAIN,2025-01-07T14:00:00,2025-01-07T14:30:00,P009,E00095
2025-01-07,MAIN,2025-01-07T15:00:00,2025-01-07T15:30:00,P023,E00216
2025-01-07,MAIN,2025-01-07T16:00:00,2025-01-07T16:30:00,P044,E00401
2025-01-07,MAIN,2025-01-07T17:00:00,2025-01-07T17:55:00,P002,E00007
2025-01-07,MAIN,2025-01-07T19:00:00,2025-01-07T19:55:00,P017,E00161
2025-01-07,MAIN,2025-01-07T20:00:00,2025-01-07T21:00:00,P009,E00101
2025-01-07,MAIN,2025-01-07T21:00:00,2025-01-07T22:00:00,P039,E00335
2025-01-07,MAIN,2025-01-07T22:00:00,2025-01-07T22:55:00,P054,E00489
2025-01-07,MAIN,2025-01-07T23:00:00,2025-01-07T23:55:00,P036,E00315
2025-01-07,EXTRA,2025-01-07T07:00:00,2025-01-07T07:25:00,P043,E00394
2025-01-07,EXTRA,2025-01-07T07:00:00,2025-01-07T07:30:00,P007,E00075
2025-01-07,EXTRA,2025-01-07T08:00:00,2025-01-07T08:25:00,P045,E00412
