event_id,event_timestamp,user_id,session_id,programme_id,episode_id,event_type,position_sec,platform
EV00000001,2025-10-24T18:44:01,U001977,S0005459,P029,E00292,start,0,ctv
EV00000002,2025-10-24T18:50:16,U001977,S0005459,P029,E00292,25pct,375,ctv
EV00000003,2025-10-24T18:56:31,U001977,S0005459,P029,E00292,50pct,750,ctv
EV00000004,2025-10-24T19:02:46,U001977,S0005459,P029,E00292,75pct,1125,ctv
EV00000005,2025-10-24T19:09:01,U001977,S0005459,P029,E00292,complete,1500,ctv
EV00000006,2025-12-08T19:25:39,U001773,S0000358,P059,E00531,start,0,ios
EV00000007,2025-12-08T19:48:09,U001773,S0000358,P059,E00531,25pct,1350,ios
EV00000008,2025-12-08T20:10:39,U001773,S0000358,P059,E00531,50pct,2700,ios
EV00000009,2025-12-08T20:33:09,U001773,S0000358,P059,E00531,75pct,4050,ios
EV00000010,2025-12-08T20:55:39,U001773,S0000358,P059,E00531,complete,5400,ios
EV00000011,2025-02-22T13:05:42,U003138,S0004843,P009,E00096,start,0,ios
EV00000012,2025-02-22T13:20:42,U003138,S0004843,P009,E00096,25pct,900,ios
EV00000013,2025-02-22T13:35:42,U003138,S0004843,P009,E00096,50pct,1800,ios
EV00000014,2025-02-22T13:50:42,U003138,S0004843,P009,E00096,75pct,2700,ios
EV00000015,2025-02-22T14:05:42,U003138,S0004843,P009,E00096,complete,3600,ios
EV00000016,2025-09-13T21:54:06,U002861,S0001266,P046,E00418,start,0,android
EV00000017,2025-09-13T22:09:06,U002861,S0001266,P046,E00418,25pct,900,android
EV00000018,2025-09-13T22:24:06,U002861,S0001266,P046,E00418,50pct,1800,android
EV00000019,2025-09-13T22:39:06,U002861,S0001266,P046,E00418,75pct,2700,android
EV00000020,2025-09-13T22:54:06,U002861,S0001266,P046,E00418,complete,3600,android
EV00000021,2025-01-10T14:37:10,U001154,S0002278,P005,E00052,start,0,ios
EV00000022,2025-01-10T14:48:25,U001154,S0002278,P005,E00052,25pct,675,ios
EV00000023,2025-01-10T14:59:40,U001154,S0002278,P005,E00052,50pct,1350,ios
EV00000024,2025-01-10T15:10:55,U001154,S0002278,P005,E00052,75pct,2025,ios
EV00000025,2025-01-10T15:22:10,U001154,S0002278,P005,E00052,complete,2700,ios
EV00000026,2025-11-08T13:53:39,U002404,S0003890,P013,E00139,start,0,android
EV00000027,2025-11-08T14:08:39,U002404,S0003890,P013,E00139,25pct,900,android
EV00000028,2025-11-08T14:23:39,U002404,S0003890,P013,E00139,50pct,1800,android
EV00000029,2025-11-08T14:38:39,U002404,S0003890,P013,E00139,75pct,2700,android
EV00000030,2025-11-08T14:53:39,U002404,S0003890,P013,E00139,complete,3600,android
EV00000031,2025-12-23T11:25:34,U003958,S0000098,P021,E00202,start,0,ios
EV00000032,2025-01-12T17:34:55,U002759,S0003122,P011,E00114,start,0,web
EV00000033,2025-01-12T17:49:55,U002759,S0003122,P011,E00114,25pct,900,web
EV00000034,2025-01-12T18:04:55,U002759,S0003122,P011,E00114,50pct,1800,web
EV00000035,2025-01-12T18:19:55,U002759,S0003122,P011,E00114,75pct,2700,web
EV00000036,2025-01-12T18:34:55,U002759,S0003122,P011,E00114,complete,3600,web
EV00000037,2025-10-30T07:06:38,U003669,S0002703,P027,E00258,start,0,ios
EV00000038,2025-10-30T07:12:53,U003669,S0002703,P027,E00258,25pct,375,ios
EV00000039,2025-10-30T07:19:08,U003669,S0002703,P027,E00258,50pct,750,ios
EV00000040,2025-10-30T07:25:23,U003669,S0002703,P027,E00258,75pct,1125,ios
EV00000041,2025-10-30T07:31:38,U003669,S0002703,P027,E00258,complete,1500,ios
EV00000042,2025-05-26T17:07:46,U003914,S0001208,P014,E00142,start,0,android
EV00000043,2025-05-26T17:22:46,U003914,S0001208,P014,E00142,25pct,900,android
EV00000044,2025-05-26T17:37:46,U003914,S0001208,P014,E00142,50pct,1800,android
EV00000045,2025-09-25T17:19:36,U000424,S0002019,P005,E00048,start,0,ios
EV00000046,2025-09-25T17:30:51,U000424,S0002019,P005,E00048,25pct,675,ios
EV00000047,2025-09-25T17:42:06,U000424,S0002019,P005,E00048,50pct,1350,ios
EV00000048,2025-09-25T17:53:21,U000424,S0002019,P005,E00048,75pct,2025,ios
EV00000049,2025-09-25T18:04:36,U000424,S0002019,P005,E00048,complete,2700,ios
EV00000050,2025-07-09T08:32:15,U000951,S0005969,P031,E00307,start,0,web
EV00000051,2025-07-09T09:01:15,U000951,S0005969,P031,E00307,25pct,1740,web
EV00000052,2025-07-09T09:30:15,U000951,S0005969,P031,E00307,50pct,3480,web
EV00000053,2025-07-09T09:59:15,U000951,S0005969,P031,E00307,75pct,5220,web
EV00000054,2025-07-09T10:28:15,U000951,S0005969,P031,E00307,complete,6960,web
EV00000055,2025-07-11T13:47:44,U000693,S0005993,P050,E00442,start,0,android
EV00000056,2025-07-11T14:17:44,U000693,S0005993,P050,E00442,25pct,1800,android
EV00000057,2025-07-11T14:47:44,U000693,S0005993,P050,E00442,50pct,3600,android
EV00000058,2025-07-11T15:17:44,U000693,S0005993,P050,E00442,75pct,5400,android
EV00000059,2025-07-11T15:47:44,U000693,S0005993,P050,E00442,complete,7200,android
EV00000060,2025-03-17T16:19:10,U003104,S0004402,P036,E00316,start,0,ctv
EV00000061,2025-03-17T16:34:10,U003104,S0004402,P036,E00316,25pct,900,ctv
EV00000062,2025-03-17T16:49:10,U003104,S0004402,P036,E00316,50pct,1800,ctv
EV00000063,2025-03-17T17:04:10,U003104,S0004402,P036,E00316,75pct,2700,ctv
EV00000064,2025-03-17T17:19:10,U003104,S0004402,P036,E00316,complete,3600,ctv
EV00000065,2025-10-21T10:53:35,U002597,S0005450,P057,E00520,start,0,android
EV00000066,2025-10-21T11:08:35,U002597,S0005450,P057,E00520,25pct,900,android
EV00000067,2025-10-21T11:23:35,U002597,S0005450,P057,E00520,50pct,1800,android
EV00000068,2025-10-21T11:38:35,U002597,S0005450,P057,E00520,75pct,2700,android
EV00000069,2025-10-21T11:53:35,U002597,S0005450,P057,E00520,complete,3600,android
EV00000070,2025-01-07T23:37:47,U000596,S0001718,P033,E00309,start,0,android
EV00000071,2025-01-08T00:14:47,U000596,S0001718,P033,E00309,25pct,2220,android
EV00000072,2025-01-08T00:51:47,U000596,S0001718,P033,E00309,50pct,4440,android
EV00000073,2025-01-08T01:28:47,U000596,S0001718,P033,E00309,75pct,6660,android
EV00000074,2025-01-08T02:05:47,U000596,S0001718,P033,E00309,complete,8880,android
EV00000075,2025-05-05T00:01:13,U003257,S0003020,P045,E00412,start,0,web
EV00000076,2025-05-05T00:12:28,U003257,S0003020,P045,E00412,25pct,675,web
