session_id,user_id,session_start,session_end,platform,device_type,country,is_new_user
S0000001,U001998,2025-08-27T09:22:00,2025-08-27T10:24:00,web,mobile,GB,False
S0000002,U000793,2025-06-24T21:07:00,2025-06-24T22:59:00,ios,mobile,GB,False
S0000003,U000643,2025-04-19T14:30:00,2025-04-19T16:23:00,web,mobile,GB,False
S0000004,U003040,2025-04-12T08:01:00,2025-04-12T09:35:00,ios,tablet,GB,False
S0000005,U000883,2025-07-23T14:55:00,2025-07-23T16:39:00,ctv,smart_tv,GB,False
S0000006,U001738,2025-12-12T17:39:00,2025-12-12T19:16:00,web,tablet,GB,False
S0000007,U002962,2025-09-03T21:25:00,2025-09-03T21:52:00,android,tablet,GB,False
S0000008,U000312,2025-06-09T15:40:00,2025-06-09T17:05:00,ios,mobile,GB,False
S0000009,U001056,2025-08-14T08:43:00,2025-08-14T09:46:00,ios,tablet,GB,False
S0000010,U003450,2025-09-23T17:22:00,2025-09-23T18:25:00,ios,tablet,GB,False
S0000011,U001368,2025-12-21T11:20:00,2025-12-21T11:44:00,ios,tablet,GB,False
S0000012,U000226,2025-11-14T11:48:00,2025-11-14T12:01:00,ctv,smart_tv,GB,False
S0000013,U001809,2025-05-18T10:18:00,2025-05-18T11:24:00,web,mobile,GB,False
S0000014,U003352,2025-06-27T21:33:00,2025-06-27T22:01:00,android,mobile,GB,False
S0000015,U003886,2025-10-17T13:28:00,2025-10-17T13:44:00,web,desktop,GB,False
S0000016,U003965,2025-08-11T15:41:00,2025-08-11T16:40:00,web,desktop,GB,False
S0000017,U002482,2025-04-18T09:54:00,2025-04-18T10:49:00,web,desktop,GB,False
S0000018,U001220,2025-04-09T14:18:00,2025-04-09T14:43:00,ios,mobile,GB,False
S0000019,U000034,2025-05-06T12:58:00,2025-05-06T14:37:00,ctv,streaming_stick,GB,False
S0000020,U003960,2025-02-15T07:10:00,2025-02-15T07:58:00,web,tablet,GB,False
S0000021,U002860,2025-11-02T08:37:00,2025-11-02T09:57:00,ios,tablet,GB,False
