user_id,registration_date,demographic_id,is_active
U000001,2023-06-22,D006,True
U000002,2023-06-12,D015,True
U000003,2024-08-02,D012,True
U000004,2023-07-02,D011,True
U000005,2025-09-24,D006,True
U000006,2025-05-27,D012,True
U000007,2024-12-14,D003,True
U000008,2025-06-10,D010,True
U000009,2023-01-19,D010,True
U000010,2023-07-31,D002,True
U000011,2024-09-22,D013,True
U000012,2024-12-08,D008,True
U000013,2023-10-12,D016,True
U000014,2023-03-02,D010,True
U000015,2025-01-04,D001,True
U000016,2024-05-26,D015,True
U000017,2024-02-22,D008,True
U000018,2023-12-08,D010,True
U000019,2023-06-30,D016,True
U000020,2025-09-08,D013,True
U000021,2024-08-18,D006,True
U000022,2023-01-19,D011,True
U000023,2024-08-24,D005,True
U000024,2025-09-11,D005,True
U000025,2024-03-22,D010,True
U000026,2023-09-19,D003,True
U000027,2023-08-25,D016,True
U000028,2024-05-17,D014,True
U000029,2023-07-04,D015,True
U000030,2023-01-21,D003,True
U000031,2023-02-01,D014,True
U000032,2024-10-17,D014,True
U000033,2025-07-24,D008,True
U000034,2024-03-05,D010,True
U000035,2024-02-29,D005,True
U000036,2025-08-21,D004,True
U000037,2024-02-14,D015,True
U000038,2025-01-11,D008,True
U000039,2024-02-20,D002,True
U000040,2025-07-06,D009,True
U000041,2023-06-02,D007,True
U000042,2023-03-25,D016,True
U000043,2023-08-19,D005,True
U000044,2023-10-02,D007,True
U000045,2023-03-03,D013,True
U000046,2024-01-08,D010,True
U000047,2023-03-27,D015,True
U000048,2025-07-09,D016,True
U000049,2025-02-20,D005,True
U000050,2025-11-20,D002,True
U000051,2025-04-23,D001,True
U000052,2025-10-31,D004,True
U000053,2024-07-26,D006,True
U000054,2023-03-04,D014,True
U000055,2023-09-01,D002,True
U000056,2023-10-14,D006,True
U000057,2024-03-17,D003,True
U000058,2024-03-12,D016,True
U000059,2024-03-09,D011,True
U000060,2025-05-25,D009,True
U000061,2025-10-05,D013,True
U000062,2023-07-04,D004,True
U000063,2025-12-03,D001,True
U000064,2025-12-28,D009,True
U000065,2024-01-08,D016,True
U000066,2024-12-21,D009,True
U000067,2025-02-14,D006,True
U000068,2023-04-16,D010,True
U000069,2023-10-16,D014,True
U000070,2024-01-16,D005,True
U000071,2024-05-01,D007,True
U000072,2025-10-01,D012,True
U000073,2025-05-10,D015,True
U000074,2025-04-21,D015,True
U000075,2025-02-16,D011,True
U000076,2025-08-23,D006,True
U000077,2024-10-13,D009,True
U000078,2024-11-05,D008,True
U000079,2024-03-01,D008,True
U000080,2023-07-31,D015,True
U000081,2023-11-28,D015,True
U000082,2023-04-15,D016,True
U000083,2023-07-06,D007,True
U000084,2024-08-05,D005,True
U000085,2023-10-29,D011,True
U000086,2023-01-07,D016,True
U000087,2024-03-11,D002,True
U000088,2024-11-03,D003,True
U000089,2025-12-13,D010,True
U000090,2023-07-19,D003,True
U000091,2024-07-24,D001,True
U000092,2023-05-13,D016,True
U000093,2025-07-31,D006,True
U000094,2023-02-21,D001,True
U000095,2023-09-08,D003,True
U000096,2025-10-20,D016,True
U000097,2024-07-08,D013,True
U000098,2023-10-19,D014,True
U000099,2023-03-19,D009,True
U000100,2023-05-05,D005,True
U000101,2025-06-30,D015,True
U000102,2025-04-30,D006,True
U000103,2024-05-17,D008,True
U000104,2023-12-08,D013,True
U000105,2023-08-18,D008,True
U000106,2025-09-19,D007,True
U000107,2025-02-20,D012,True
U000108,2024-11-23,D013,True
U000109,2023-12-01,D005,True
U000110,2023-12-20,D011,True
U000111,2023-01-07,D015,True
U000112,2023-11-15,D016,True
U000113,2024-11-03,D011,True
U000114,2025-12-10,D016,True
U000115,2025-06-23,D002,True
U000116,2023-03-15,D006,True
U000117,2023-01-26,D008,True
U000118,2024-05-01,D015,True
U000119,2023-11-02,D009,True
U000120,2023-09-03,D003,True
U000121,2024-12-21,D013,True
U000122,2025-07-04,D009,True
U000123,2024-11-07,D013,True
U000124,2024-09-03,D004,True
U000125,2023-10-15,D006,True
U000126,2023-07-12,D011,True
U000127,2023-10-16,D010,True
U000128,2024-07-26,D008,True
U000129,2025-10-14,D011,True
U000130,2025-08-23,D011,True
U000131,2023-10-18,D013,True
U000132,2024-10-12,D001,True
U000133,2025-08-27,D013,True
U000134,2024-11-15,D013,True
U000135,2025-03-09,D004,True
U000136,2025-09-12,D012,True
U000137,2025-07-26,D013,True
U000138,2024-07-19,D002,True
U000139,2023-07-03,D015,True
U000140,2025-09-09,D010,True
U000141,2023-03-11,D004,True
U000142,2025-06-29,D007,True
U000143,2023-12-17,D007,True
U000144,2023-05-01,D008,True
U000145,2023-09-02,D012,True
U000146,2025-02-07,D016,True
U000147,2025-01-31,D011,True
U000148,2023-10-20,D015,True
U000149,2023-06-02,D016,True
U000150,2025-08-28,D011,True
U000151,2023-12-24,D010,True
U000152,2023-02-07,D002,True
U000153,2023-05-05,D003,True
U000154,2024-12-23,D013,True
U000155,2025-06-18,D011,True
U000156,2024-05-12,D006,True
U000157,2023-04-27,D001,True
U000158,2025-09-21,D005,True
U000159,2024-08-12,D007,True
U000160,2025-05-31,D007,True
U000161,2025-04-12,D013,True
U000162,2023-02-22,D007,True
U000163,2023-05-12,D009,True
U000164,2023-08-23,D001,True
U000165,2025-02-14,D003,True
U000166,2024-08-07,D014,True
U000167,2024-05-22,D003,True
U000168,2023-12-26,D016,True
U000169,2023-04-19,D003,True
U000170,2025-03-29,D003,True
U000171,2023-01-19,D009,True
U000172,2025-01-12,D012,True
U000173,2025-08-24,D012,True
U000174,2023-09-06,D003,True
U000175,2023-05-08,D014,True
U000176,2023-12-16,D011,True
U000177,2025-02-14,D005,True
U000178,2024-10-07,D012,True
U000179,2023-12-22,D005,True
U000180,2024-03-10,D016,True
U000181,2025-11-09,D014,True
U000182,2024-11-27,D001,True
U000183,2025-02-25,D005,True
U000184,2025-01-02,D008,True
U000185,2024-09-05,D012,True
U000186,2025-03-12,D015,True
U000187,2023-01-17,D016,True
U000188,2025-06-02,D012,True
U000189,2024-11-29,D012,True
U000190,2023-09-14,D010,True
U000191,2023-04-14,D006,True
U000192,2023-09-13,D010,True
U000193,2023-03-16,D009,True
U000194,2023-09-09,D009,True
U000195,2023-12-25,D011,True
U000196,2025-10-23,D015,True
U000197,2025-02-25,D008,True
U000198,2025-06-04,D001,True
U000199,2025-04-24,D012,True
U000200,2025-09-22,D002,True
U000201,2023-04-23,D011,True
U000202,2023-09-28,D010,True
U000203,2024-01-13,D001,True
U000204,2024-02-07,D004,True
U000205,2025-12-07,D011,True
U000206,2023-01-12,D001,True
U000207,2025-05-23,D001,True
U000208,2023-08-23,D016,True
U000209,2023-03-30,D009,True
U000210,2024-07-30,D016,True
U000211,2023-07-24,D003,True
U000212,2024-10-23,D015,True
U000213,2023-01-08,D014,True
U000214,2023-11-21,D007,True
U000215,2023-11-06,D010,True
U000216,2023-10-28,D011,True
U000217,2024-08-22,D008,True
U000218,2024-09-08,D010,True
U000219,2023-07-06,D015,True
U000220,2024-06-13,D014,True
U000221,2024-09-19,D007,True
U000222,2023-04-24,D005,True
U000223,2025-02-15,D014,True
U000224,2025-01-17,D004,True
U000225,2025-08-01,D012,True
U000226,2025-12-30,D006,True
U000227,2024-10-10,D016,True
U000228,2024-05-16,D007,True
U000229,2023-03-16,D008,True
U000230,2024-05-20,D011,True
U000231,2025-09-20,D011,True
U000232,2025-01-28,D004,True
U000233,2024-05-17,D001,True
U000234,2024-03-17,D001,True
U000235,2024-08-01,D016,True
U000236,2025-04-08,D014,True
U000237,2025-11-07,D016,True
U000238,2023-08-10,D006,True
U000239,2025-07-29,D009,True
U000240,2024-01-04,D016,True
U000241,2023-06-22,D008,True
U000242,2023-09-14,D013,True
U000243,2025-11-29,D011,True
U000244,2025-05-10,D003,True
U000245,2023-07-16,D010,True
U000246,2023-04-14,D008,True
U000247,2023-10-27,D014,True
U000248,2023-12-15,D007,True
U000249,2023-07-12,D012,True
U000250,2023-01-23,D015,True
U000251,2024-04-27,D012,True
U000252,2023-12-21,D015,True
U000253,2025-05-07,D008,True
U000254,2025-05-14,D009,True
U000255,2024-07-12,D009,True
U000256,2023-10-24,D003,True
U000257,2023-07-24,D008,True
U000258,2024-03-16,D006,True
U000259,2024-02-06,D016,True
U000260,2024-08-05,D016,True
U000261,2023-04-30,D016,True
U000262,2024-06-11,D008,True
U000263,2023-07-17,D006,True
U000264,2025-07-22,D005,True
U000265,2024-10-02,D009,True
U000266,2023-02-10,D015,True
U000267,2023-07-05,D012,True
U000268,2023-11-07,D003,True
U000269,2025-07-18,D016,True
U000270,2024-02-20,D012,True
U000271,2023-03-28,D008,True
U000272,2025-04-16,D006,True
U000273,2025-10-10,D001,True
U000274,2025-08-31,D011,True
U000275,2025-12-06,D011,True
U000276,2024-05-23,D012,True
U000277,2025-05-13,D015,True
U000278,2024-09-16,D013,True
U000279,2024-03-12,D012,True
U000280,2024-05-28,D002,True
U000281,2024-03-11,D003,True
U000282,2024-09-29,D009,True
U000283,2024-04-20,D006,True
U000284,2024-05-16,D014,True
U000285,2025-04-18,D016,True
U000286,2025-06-03,D005,True
U000287,2024-12-11,D008,True
U000288,2024-08-13,D002,True
U000289,2023-09-21,D011,True
U000290,2024-09-03,D007,True
U000291,2023-12-01,D007,True
U000292,2023-12-08,D016,True
U000293,2024-03-29,D001,True
U000294,2023-10-13,D006,True
U000295,2023-03-06,D006,True
U000296,2025-04-30,D013,True
U000297,2025-12-31,D016,True
U000298,2023-04-05,D011,True
U000299,2023-05-13,D005,True
U000300,2023-05-01,D007,True
U000301,2023-05-24,D014,True
U000302,2024-08-12,D002,True
U000303,2023-05-16,D015,True
U000304,2024-10-08,D008,True
U000305,2023-07-20,D013,True
U000306,2023-09-10,D001,True
U000307,2023-03-14,D016,True
U000308,2023-03-07,D011,True
U000309,2024-02-14,D001,True
U000310,2025-09-09,D010,True
U000311,2024-06-11,D012,True
U000312,2025-09-28,D015,True
U000313,2025-03-19,D013,True
U000314,2025-02-13,D001,True
U000315,2025-07-17,D001,True
U000316,2023-07-11,D008,True
U000317,2024-12-24,D005,True
U000318,2023-09-25,D012,True
U000319,2025-03-04,D015,True
U000320,2023-02-07,D006,True
U000321,2024-01-24,D010,True
U000322,2023-11-02,D008,True
U000323,2025-11-29,D011,True
U000324,2024-04-17,D003,True
U000325,2024-01-12,D014,True
U000326,2023-03-14,D004,True
U000327,2025-08-15,D015,True
U000328,2023-07-10,D011,True
U000329,2024-11-10,D015,True
U000330,2025-01-28,D009,True
U000331,2024-03-25,D003,True
U000332,2023-06-03,D002,True
U000333,2023-03-01,D010,True
U000334,2025-12-17,D016,True
U000335,2024-02-26,D011,True
U000336,2024-11-16,D001,True
U000337,2023-12-16,D007,True
U000338,2023-10-21,D011,True
U000339,2023-04-29,D005,True
U000340,2023-07-20,D007,True
U000341,2023-12-03,D002,True
U000342,2023-06-17,D001,True
U000343,2024-01-16,D003,True
U000344,2024-12-08,D002,True
U000345,2023-09-16,D014,True
U000346,2023-06-27,D006,True
U000347,2025-08-21,D005,True
U000348,2023-01-01,D004,True
U000349,2024-03-21,D013,True
U000350,2024-08-22,D015,True
U000351,2025-11-04,D006,True
U000352,2023-04-16,D011,True
U000353,2024-09-28,D015,True
U000354,2025-02-16,D004,True
U000355,2024-05-19,D006,True
U000356,2024-04-05,D003,True
U000357,2024-10-01,D016,True
U000358,2025-06-03,D016,True
U000359,2024-08-24,D001,True
U000360,2023-08-12,D007,True
U000361,2025-10-20,D012,True
U000362,2023-01-10,D007,True
U000363,2025-10-24,D014,True
U000364,2024-07-15,D007,True
U000365,2023-08-14,D004,True
U000366,2023-08-17,D015,True
U000367,2025-02-03,D007,True
U000368,2023-10-15,D014,True
U000369,2024-02-12,D014,True
U000370,2025-09-28,D013,True
U000371,2023-05-04,D016,True
U000372,2023-12-02,D012,True
U000373,2024-01-03,D015,True
U000374,2024-08-20,D011,True
U000375,2024-05-15,D004,True
U000376,2025-12-25,D011,True
U000377,2023-07-10,D016,True
U000378,2025-04-08,D012,True
U000379,2025-12-07,D010,True
U000380,2025-10-12,D006,True
U000381,2024-02-28,D003,True
U000382,2025-11-09,D011,True
U000383,2024-03-05,D015,True
U000384,2025-02-25,D007,True
U000385,2024-01-30,D016,True
U000386,2023-03-06,D010,True
U000387,2023-12-26,D016,True
U000388,2025-03-01,D002,True
U000389,2023-01-18,D001,True
U000390,2025-02-21,D010,True
U000391,2025-05-12,D001,True
U000392,2024-05-24,D003,True
U000393,2023-12-05,D002,True
U000394,2023-05-20,D010,True
U000395,2024-08-17,D004,True
U000396,2023-09-22,D013,True
U000397,2025-12-03,D004,True
U000398,2023-08-08,D004,True
U000399,2025-07-08,D011,True
U000400,2023-12-11,D013,True
U000401,2023-07-21,D003,True
U000402,2024-09-14,D010,True
U000403,2025-11-27,D009,True
U000404,2023-07-13,D012,True
U000405,2025-09-30,D002,True
U000406,2025-10-08,D010,True
U000407,2024-02-13,D010,True
U000408,2025-10-23,D005,True
U000409,2025-04-09,D016,True
U000410,2025-11-14,D013,True
U000411,2025-10-16,D013,True
U000412,2024-04-05,D010,True
U000413,2024-08-23,D011,True
U000414,2023-07-20,D012,True
U000415,2023-03-01,D002,True
U000416,2024-09-26,D013,True
U000417,2024-10-25,D007,True
U000418,2023-09-27,D010,True
U000419,2023-04-09,D005,True
U000420,2025-01-28,D010,True
U000421,2023-12-19,D011,True
U000422,2023-02-21,D004,True
U000423,2023-04-14,D002,True
U000424,2023-01-23,D008,True
U000425,2024-09-05,D012,True
U000426,2025-08-21,D010,True
U000427,2024-12-20,D009,True
U000428,2024-06-22,D014,True
U000429,2023-10-01,D008,True
U000430,2025-10-20,D002,True
U000431,2025-10-21,D009,True
U000432,2023-12-31,D007,True
U000433,2025-11-24,D009,True
U000434,2023-08-30,D016,True
U000435,2025-01-26,D011,True
U000436,2025-06-01,D010,True
U000437,2025-12-11,D013,True
U000438,2025-05-21,D015,True
U000439,2025-09-18,D015,True
U000440,2024-10-26,D003,True
U000441,2023-03-18,D001,True
U000442,2023-03-11,D004,True
U000443,2023-10-08,D014,True
U000444,2023-01-04,D004,True
U000445,2024-10-01,D001,True
U000446,2024-09-17,D010,True
U000447,2023-11-15,D004,True
U000448,2024-12-27,D004,True
U000449,2023-12-15,D002,True
U000450,2025-06-07,D013,True
U000451,2024-08-02,D011,True
U000452,2024-07-15,D014,True
U000453,2023-11-04,D005,True
U000454,2023-12-05,D015,True
U000455,2024-09-13,D004,True
U000456,2025-02-17,D012,True
U000457,2024-10-09,D014,True
U000458,2025-05-24,D005,True
U000459,2023-07-12,D013,True
U000460,2023-03-12,D015,True
U000461,2023-10-15,D006,True
U000462,2025-02-03,D012,True
U000463,2023-03-17,D010,True
U000464,2023-04-06,D009,True
U000465,2023-12-17,D002,True
U000466,2025-08-31,D015,True
U000467,2025-04-30,D015,True
U000468,2024-09-13,D008,True
U000469,2025-07-01,D011,True
U000470,2023-03-22,D004,True
U000471,2023-08-16,D002,True
U000472,2024-06-11,D006,True
U000473,2023-11-09,D003,True
U000474,2024-07-07,D009,True
U000475,2023-06-28,D003,True
U000476,2023-08-30,D011,True
U000477,2025-10-17,D009,True
U000478,2024-07-12,D004,True
U000479,2023-12-05,D006,True
U000480,2023-08-04,D009,True
U000481,2024-05-29,D012,True
U000482,2023-03-13,D005,True
U000483,2023-09-05,D010,True
U000484,2023-12-07,D009,True
U000485,2025-07-08,D004,True
U000486,2024-10-09,D015,True
U000487,2025-10-01,D009,True
U000488,2023-03-01,D016,True
U000489,2023-08-07,D005,True
U000490,2025-11-19,D007,True
U000491,2024-12-03,D015,True
U000492,2024-08-14,D013,True
U000493,2024-03-05,D006,True
U000494,2024-04-01,D006,True
U000495,2023-05-03,D014,True
U000496,2025-12-27,D016,True
U000497,2024-06-03,D004,True
U000498,2024-04-04,D014,True
U000499,2024-07-14,D009,True
U000500,2025-12-25,D006,True
U000501,2023-07-24,D004,True
U000502,2024-12-07,D012,True
U000503,2024-12-05,D010,True
U000504,2025-02-17,D011,True
U000505,2024-01-08,D011,True
U000506,2023-11-03,D003,True
U000507,2024-11-22,D005,True
U000508,2023-08-03,D005,True
U000509,2025-07-04,D007,True
U000510,2023-01-04,D009,True
U000511,2025-04-24,D012,True
U000512,2024-01-26,D003,True
U000513,2025-12-13,D012,True
U000514,2024-06-20,D005,True
U000515,2023-12-21,D005,True
U000516,2023-04-21,D011,True
U000517,2025-12-18,D012,True
U000518,2023-09-30,D002,True
U000519,2023-02-20,D009,True
U000520,2023-01-20,D006,True
U000521,2025-12-04,D015,True
U000522,2025-02-14,D016,True
