year,demographic_id,population_thousands
2024,D001,2207
2024,D002,1806
2024,D003,2297
2024,D004,1880
2024,D005,4245
2024,D006,3473
2024,D007,4418
2024,D008,3615
2024,D009,4584
2024,D010,3751
2024,D011,4771
2024,D012,3904
2024,D013,5942
2024,D014,4862
2024,D015,6185
2024,D016,5060
2025,D001,2207
2025,D002,1806
2025,D003,2297
2025,D004,1880
2025,D005,4245
2025,D006,3473
2025,D007,4418
2025,D008,3615
2025,D009,4584
2025,D010,3751
2025,D011,4771
2025,D012,3904
2025,D013,5942
2025,D014,4862
2025,D015,6185
2025,D016,5060
